TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Mestrado,Um Estudo sobre Difrenciação de Salários na Indústria de Trasnformação da Região Metropolitana de Curitiba,1999,Brasil,Português,Rinaldo Aparecido Galete
Mestrado,"Evolução das Famílias Rurais no Brasil e Grandes Regiões: Pluriatividade e Trabalho doméstico, 1992-1999",2002,Brasil,Português,Carlos Alves do Nascimento
Mestrado,"O Programa de Garantia de Renda Familiar Mínima do Município de Campinas/SP: Uma Avaliação através das Tipologias das Famílias e dos Critérios de Emancipação, Permanência e Desligamento",2000,Brasil,Português,Reginaldo Arthus
Mestrado,Características do Emprego Rural no Estado de são Paulo nos Anos 90,2000,Brasil,Português,Otávio Valentim Balsadi
Mestrado,Viabilidade de Inserção da Mão-de-Obra Rural em Atividades Agrícola e Não-Agrícolas: O Caso da Região de Ribeirão Preto,2001,Brasil,Português,Erika Osakabe
Mestrado,Trabalho infantil e famílias em Regiões Metropolitanas Brasileiras,2003,Brasil,Português,Carmen Siqueira Ribeiro dos Santos Nogueira
Mestrado,Questões de raça e gênero na desigualdade social brasileira recente,2005,Brasil,Português,Vinicius Gaspar Garcia
Mestrado,Como crescimento e desigualdade afetam a pobreza?,2006,Brasil,Português,Rodrigo Otávio Odair
Mestrado,Ocupações e Rendas das Mulhers das Famílias Rurais na Região Sul: Uma Perspectiva de Gênero,2008,Brasil,Português,Isabel de Souza Pereira Tondo
Mestrado,"Desigualdade e polarização da distribuição de renda no Brasil e no Estado de São Paulo, 1992-2007.",2009,Brasil,Português,Erika de Souza Lopes
Mestrado,Previdência social e mulher no contexto brasileiro,2004,Brasil,Português,Jane Marchi Madureira
Mestrado,Mobilidade Brasileira a partir de estratos de renda (1981-2004).,2007,Brasil,Português,Maria Alice Pestana Aguiar
Mestrado,As portas do Programa Bolsa Família: vozes das mulheres beneficiárias do município de Santo Antonio do Pinhal/SP.,2013,Brasil,Português,Luciana Ramirez da Cruz
Mestrado,Income inequality within the labourmarket: the case of Barbados (Desigualdade de renda no mercado de trabalho: o caso de Barbados,2015,Brasil,Inglês,Sophia Juliette Lowe
Mestrado,Youth development and unemployment: the cas of Liberia,2015,Brasil,Inglês,Doris Nimene Nelson
Mestrado,Mudanças na constituição das famílias e impactos na distribuição de rendimentos: um comparativo entre áreas rurais urbanas no Brasil,2014,Brasil,Português,Camila Strobl Sakamoto
Mestrado,"Economic Performance, Inequelity and The Labour Market: the case of Barbados",2015,Brasil,Português,Sophia Juliette Lowe
Mestrado,Participação no mercado de trabalho e nível socioeconômico da população no período 2004-2013,2016,Brasil,Português,Luciana Bernardes Vasquez
Mestrado,Observações sobre o Brabalho Feminino Formal nas Regiões Metropolitanas de São Paulo e Recife neste Final de Século,1999,Brasil,Português,Adriana Strasburg de Camargo Andrade
