TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,Um processo para construcao e instanciacao de frameworks baseados em uma linguagem de padrões para um domínio específico,2003,Brasil,Português,Rosana Teresinha Vaccare Braga
Doutorado,Um modelo de composição dinâmica entre sistemas de componentes de software,2000,Brasil,Português,Renato Cerqueira
Doutorado,Um Enfoque Baseado em Modelos para o Design Orientado a Aspectos,2004,Brasil,Português,Christina von Flach Garcia Chavez
Doutorado,Fluid Web e Componentes de Conteúdo Digital: da Visão Centrada em Documentos para a Visão Centrada em Contéudo,2006,Brasil,Inglês,André Santanchè
Doutorado,Uso de Risco na Validação de Sistemas Baseados em Componentes,2006,Brasil,Português,Regina Lúcia de Oliveira Moraes
Doutorado,Tratamento de Exceções no Desenvolvimento de Sistemas Tolerants a Falhas baseados em Componentes,2006,Brasil,Português,Fernando José Castor de Lima Filho
Doutorado,Uma Abordagem de Apoio à Criação de Arquiteturas de Referência de Domínio baseada na Análise de Sistemas Legados,2007,Brasil,Português,Aline Pires Vieira de Vasconcelos
Doutorado,A Rigorous Architectural Approach to Develop Dependable Component-Based Software Systems,2009,Brasil,Português,Patrick Henrique da Silva Brito
Doutorado,Uma Infraestrutura Autoadaptativa baseada em Linhas de Produtos de Software para Composições de Serviços Tolerantes a Falhas,2013,Brasil,Português,Amanda Sávio Nascimento e Silva
Doutorado,Evolução de Arquiteturas de Linhas de Produtos baseadas em Componentes e Aspectos,2012,Brasil,Português,Leonardo Pondian Tizzei
Doutorado,SystEM-PLA: Um Método Sistemático Para Avaliação de Arquitetura de Linha de Produto de Software Baseado em UML,2010,Brasil,Português,Edson Alves de Oliveira Junior
Doutorado,Geração de Planos de  Reconfiguração Composicional em Tempo de Execução,2014,Brasil,Português,Marco Eugenio Madeira Di Beneditto
