TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Dissertação de mestrado,Uma Ferramenta para Auxílio na Co-simulação usando VHDL e SystemC,2005,Brasil,Português,Richard Maciel Costa
Dissertação de mestrado,Memórias Transacionais: Prototipagem e Simulação de Implementações em Hardware e uma Caracterização para o Problema de Gerenciamento de Contenção em Software,2009,Brasil,Português,Fernando André Kronbauer
Dissertação de mestrado,Paralelização Automática de Laços para Arquiteturas Multicore,2010,Brasil,Português,Cristianno Martins
Dissertação de mestrado,Viabilizando a Simulação Multithreaded para Modelos Escritos em SystemC,2010,Brasil,Português,Rodrigo Richard Cantos Faveri
Dissertação de mestrado,Análise de Consumo de Energia em STMs e uma Plataforma de Simulação Multiprocessada com Abstração Híbrida,2010,Brasil,Português,João Batista Corrêa Gomes Moreira
Dissertação de mestrado,Um Simulador Compilado Dinâmico para ArchC,2011,Brasil,Português,Maxiwell Salvador Garcia
Dissertação de mestrado,Formação de Regiões e Otimizações Dinâmicas para Projetos de Máquinas Virtuais Eficientes,2013,Brasil,Português,Raphael Moreira Zinsly
Dissertação de mestrado,Geração e Síntese em Hardware de Modelos de Processadores SPARC V8 Utilizando ArchC,2015,Brasil,Português,Rogério Alves Cardoso
Dissertação de mestrado,MediaBox: Uma Plataforma Baseada em Nocs para Aplicações Multimídia,2011,Brasil,Português,Flávia de Oliveira Santos
Dissertação de mestrado,Um Framework para Desenvolvimento de Plataformas e uma Metodologia de Depuração Baseada em Reflexão Computacional para SystemC,2007,Brasil,Português,Bruno de Carvalho Albertini
