TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Mestrado,Busca Tabu Aplicada ao Problema de Localização de Facilidades com Restrições de Capacidade e Fonte Única,2007,Brasil,Português,Daniel Fernando Mechlin Prado
Mestrado,Comparação entre Programação Dinâmica Estocástica Primal e Dual no Planejamento da Operação Energética.,2003,Brasil,Português,Thaís Gama de Siqueira
Mestrado,Estratégias Evolutivas no Planejamento Energético da Operação de Sistemas Hidrotérmicos de Potência,2005,Brasil,Português,Carolina Janet Pastor Humpiri
Mestrado,Planejamento Da Operação Energética Baseado em Curvas-Guias de Armazenamento,2006,Brasil,Português,Mônica de Souza Zambelli
Mestrado,Um Modelo de Pré-Despacho para o Ambiente dos Novos Mercados de Energia,2010,Brasil,Português,Alessandro Lopes da Silva
Mestrado,Benefícios Associados à Operação Coordenada do Sistema Interligado Nacional Junto com as Usinas Binacionais de Corpus Yacyretá,2012,Brasil,Português,Luis Germán Barrientos Mujica
Mestrado,Pré-Despacho de Usinas Hidrelétricas: Implementação com Algoritmos Genéticos,2011,Brasil,Português,Jéssica Pillon Torralba Fernandes
Mestrado,Metodologia e Simulação de Leilão Simultâneo-Combinatório para Novos Empreendimentos de Geração de Energia Elétrica,2011,Brasil,Português,Elisa Bastos Silva
Mestrado,Um Modelo de Previsão de Carga Por Barramento,2004,Brasil,Português,Ricardo Menezes Salgado
Mestrado,Analise e especificação de um sistema de apoio a decisão para planejamento da operação de curto prazo de sistemas hidrotermicos,1993,Brasil,Português,Ana Claudia Vasconcelos Soares Bulcão
Mestrado,Despacho economico em usinas hidreletricas,2003,Brasil,Português,Felipe Provençano
Mestrado,Um modelo de fluxo de potencia otimo linear com reprogramação corretiva via metodo de pontos interiores,2004,Brasil,Português,Mariella Renata Cumpa Aurich
Mestrado,Uma metodologia para o calculo do spot price em sistemas hidrotermicos,1999,Brasil,Português,Alvaro Adelino de Oliveira
Mestrado,Previsão de carga no periodo de demanda de ponta utilizando redes neurais artificiais,1996,Brasil,Português,Wagner da Silva Lima
Mestrado,Um modelo de despacho economico para reservas operativas,2004,Brasil,Português,Gerardo Miguel Agurto Lescano
Mestrado,Uma metodologia de calculo do spot price com restrições de segurança,2002,Brasil,Português,Sandra Kise Uehara
Mestrado,Uma ferramenta de programação visual para previsão e reconhecimento de padrões,2007,Brasil,Português,Joaquim Jose Fantin Pereira
Mestrado,Despacho integrado da geração termeletrica e da produção e transporte de gas natural com metodo de Newton,2009,Brasil,Português,Elma Pereira Santos
Mestrado,Um modelo de pre-despacho com gerenciamento de congestionamento no sistema de transmissão,2003,Brasil,Português,Jose Antonio Oscullo Lala
Mestrado,Previsão de carga de curto prazo usando ensembles de previsores selecionados e evoluidos por algoritmos geneticos,2006,Brasil,Português,Marcos de Almeida Leone Filho
Mestrado,Um modelo de pre-despacho em usinas hidreletricas usando algoritmos geneticos,2001,Brasil,Português,Erinaldo Farias dos Santos
Mestrado,Um modelo de pre-despacho com margem de estabilidade de tensão,2001,Brasil,Português,Frederico Silva Moreira
Mestrado,Detecção e otimização da produção bruta de óleo em poços com elevação artificial gli,2012,Brasil,Português,Valter Souza Blande
Mestrado,Algoritmo para resolução do problema de fluxo multiproduto fuzzy,2009,Brasil,Português,Juliana Verga
Mestrado,Modelagem Inteligente para Análise de Séries de Vazões Afluentes,2016,Brasil,Português,Bethania Oliveira de Brito
Mestrado,Planejamento da operação de curto prazo de sistemas hidrotermicos com restrições de segurança,1996,Brasil,Português,Alcides Vitor Fracaro
