SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ESPECIFICACAO,ATIVIDADES-DE-CONSELHO-COMISSAO-E-CONSULTORIA_Id
"11","ATUAL","01","1999","","","007943000995","FAEP","","","consultor",0
"21","ATUAL","02","1999","","","007947000990","FAEPEX","","","Parecerista Ad Hoc",0
"22","ANTERIOR","05","2004","05","2006","007945000992","Núcleo de Estudos de Populaçãao","","","Membro Suplente junto ao Conselho Superior do NEPO-UNICAMP",0
"23","ANTERIOR","11","2006","12","2010","007945000992","Núcleo de Estudos de Populaçãao","","","Membro do Conselho Superior do NEPO-UNICAMP",0
"24","ANTERIOR","11","2007","10","2009","007942000002","Reitoria","","","Membro Comissão Graduação em Ciências Econômicas",0
"29","ANTERIOR","","2011","","2012","007948000993","Associação Brasileira de Estudos Populacionais","","","Coordenadora do Grupo de Trabalho População e Trabalho no biênio 2011-2012 da ABEP.",0
"40","ANTERIOR","04","1987","12","1988","007937000008","Instituto de Economia","","","Representante Suplente dos docente de nível MS-3 ou MS-2 junto à Congregação do Instituto de Economia.",0
"41","ATUAL","01","2002","","","007946000996","Centro de Estudos Sindicais e de Economia do Trabalho - CESIT","","","Membro do Centro de Estudos Sindicais e de Economia do trabalho - CESIT",0
"42","ATUAL","06","1989","","","007949000997","Núcleo de Métodos Quantitativos Aplicados","","","Membro do Núcleo de Métodos Quantitativos",0
"43","ANTERIOR","04","1995","11","2000","007942000002","Reitoria","","","Membro da Comissão Permanente de Vestibulares da UNICAMP",0
"50","ATUAL","01","2013","","","007948000993","Associação Brasileira de Estudos Populacionais","","","Membro Titular Conselho Fiscal",0
"36","ANTERIOR","12","2009","12","2011","007937000008","Instituto de Economia","007937001004","Departamento de Teoria Econômica","Membro do Conselho do Departamento de Teoria Econômica",0
