NOME-DO-CANDIDATO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Denise Chabaribery","007900000004","Universidade Estadual de Campinas","","","33070202","Ciência Econômica","Economy",0
"Mauro Eduardo Del Grossi","007900000004","Universidade Estadual de Campinas","","","90000003","Ciências Econômicas","",1
"Genaro Aguilar Gutierrez","007900000004","Universidade Estadual de Campinas","","","90000003","Ciências Econômicas","",2
"Irene Maurício Cazorla","007900000004","Universidade Estadual de Campinas","","","33070016","Educação","Education",3
"Carlos Roberto Ferreira","000100000991","Escola Superior de Agricultura Luiz de Queiroz Usp","","","90000009","Economia Aplicada","",4
"Luzia Alice Conejo Guedes Pinto","000600000990","Instituto de Filosofia e Ciências Humanas","","","90000014","Doutorado em Demografia","",5
"Alexandre Gori Maia","000400000997","Instituto de Economia","","","90000015","Doutorado em Economia","",6
"Maria de Fátima Guedes Chaves","007900000004","Universidade Estadual de Campinas","","","33070610","Demografia","Demography",7
"Adriana Strasburg de Camargo Andrade","007900000004","Universidade Estadual de Campinas","","","90000003","Ciências Econômicas","",8
"Edric Martins Ueda","007900000004","Universidade Estadual de Campinas","","","90000003","Ciências Econômicas","",9
"José Marangoni Camargo","007900000004","Universidade Estadual de Campinas","","","90000003","Ciências Econômicas","",10
"Daniela Verzola Vaz","001200000991","Instituto de Economia - UNICAMP","","","90000022","Doutorado em Economia","",11
"Carla Sabrina Favaro","007900000004","Universidade Estadual de Campinas","","","33070504","Filosofia","Philosophy",12
"Adriana Stankiewicz Serra","001200000991","Instituto de Economia - UNICAMP","","","90000022","Doutorado em Economia","",13
"Juan Ernesto Osvaldo Sepúlveda Alonso","001200000991","Instituto de Economia - UNICAMP","","","90000022","Doutorado em Economia","",14
