NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","NAO","1396497553199632",0
"Tomasz Kowaltowski","KOWALTOWSKI, T.","2","SIM","",0
"Cláudia Bauzer Medeiros","MEDEIROS, C. B.","3","NAO","",0
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","NAO","1396497553199632",1
"L.E. BUZATO","BUZATO, L. E.","2","NAO","6903922865972561",1
"Siang W. Song","SONG, S. W.","3","SIM","",1
"Dilma Menezes","MENEZES, D.","4","NAO","",1
"Markus Endler","ENDLER, M.","5","NAO","",1
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","SIM","1396497553199632",2
"Paulo Asterio de Castro Guerra","GUERRA, Paulo Asterio de Castro","2","NAO","6572767349410184",2
