NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",0,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",1,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",2,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",3,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",4,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",5,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",6,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",7,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",8,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",9,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",10,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",11,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",12,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",13,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",14,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,0,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,1,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,2,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,3,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,4,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,5,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,6,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,7,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,8,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,9,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,10,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,11,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,12,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,13,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,14,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,15,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,16,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,17,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,18,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,19,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,20,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,21,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,22,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,23,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,0,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,1,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,2,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,3,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,0,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,1,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,2,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,3,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,4,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,5,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,6,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,7,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,8,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,9,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,10,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,11,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,12,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,13,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,0
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,1
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,2
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,3
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,4
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,5
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,6
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,7
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,8
