TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_ORIENTADO
Tese de doutorado,Método Galerkin Discontínuo aplicado a problemas de convecção difusão,2003,Brasil,Português,Tiago Luis Duarte Forti
Tese de doutorado,Paralelização de métodos adaptativos,2002,Brasil,Português,Edimar Cesar Rylo
Tese de doutorado,Um Sistema de Refinamento H-P Adaptativo Utilizando Elementos Finitos Hierarquicos Multidimensionais,2000,Brasil,Português,Cedric Marcelo Augusto Ayala Bravo
Tese de doutorado,O Método de Galerkin Descontínuo com Difusividade Implicita e h-adaptabilidade Baseada em Técnicas Wavelets,2002,Brasil,Português,Jorge Lizardo Diaz Calle
Tese de doutorado,Tecnica de Mult-Grid Aplicada Ao Metodo dos Elementos Finitos,1996,Brasil,Português,Arlenes Silvino da Silva
Tese de doutorado,Modelos constitutivos para materiais de meios porosos,2005,Brasil,Português,Erick Slis Raggio Santos
Tese de doutorado,ADAPTATIVIDADE HP EM PARALELO,2007,Brasil,Português,Edimar César Rylo
Tese de doutorado,Novas Formulações de Elementos Finitos e Simulação Multifísica,2014,Brasil,Português,Agnaldo Monteiro Farias
Tese de doutorado,Espaços de elementos finitos de alta ordem do tipo HDiv e HCurl,2012,Brasil,Português,Denise de Siqueira
Tese de doutorado,Development of a surrogate multiscale reservoir simulator coupled with geomechanics,2017,Brasil,Inglês,Omar Yesid Duran Triana
Tese de doutorado,Modelagem Elasto Plástica Aplicada a Estabilidade Numérica de Estabilidade de Poços de Petróleo,2014,Brasil,Bretão,Diogo Lira Cecílio
Tese de doutorado,Aplicações dos métodos de elementos finitos contínuo e Galerkin descontínuo combinados,2010,Brasil,Português,tiago luis duarte forti
Tese de doutorado,Simulação Computacional de Propagação de Fraturas em Meios Porosos,2015,Brasil,Português,Paulo Cesar de Alvarenga Lucci
Tese de doutorado,Indicadores de Erro a Posteriori na Aproximação de Funcionais de Soluções de Problemas Elípticos no Contexto do Método de Galerkin Descontínuo hp -Adaptativo,2011,Brasil,Português,João Luis Gonçalves
