TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Mestrado,O ensino do canto popular brasileiro. Abordagem didática: técnica vocal e performance,2012,Brasil,Português,Sebastiana Benedita Coelho de Moraes Couteiro
Mestrado,"Cor Mio, Coro Mio, Curumim: história, análise de seis peças de um repertório multicultural para coro infantil e estratégias lúdicas do Coro Curumim da Associação Cultural Cantosospeso, entre 1993 e 2003, em Milão, Itália",2013,Brasil,Português,Elisabete Just
Mestrado,Cantar como prática da liberdade,2014,Brasil,Português,Carolina Ladeira de Oliveira Johnston
Mestrado,A formação e as práticas de ensino de professores de canto popular: perspectivas de professores da cidade de Florianópolis - SC,2015,Brasil,Português,Verônica Kimura
Mestrado,As Técnicas Vocais no Canto Popular Brasileiro: processos de aprendizagem informal e formalização do ensino,2015,Brasil,Português,Marcelo Matias Elme
Mestrado,Elizeth Cardoso e o canto urbano brasileiro: cinco décadas em cinco momentos,2015,Brasil,Português,Marcela da Silva Velon
Mestrado,"Análise da Performance Vocal em Canção Popular Brasileira dos alunos do Bacharelado em Música Popular da Faculdade de Artes e Design da Universidad Nacional de Cuyo (Mendoza, AR) - uma contribuição para o ensino do canto popular no contexto latino-americano",2016,Brasil,Português,Paola Cecilia Albano
Mestrado,Segredo e revelação: análise semiótica do comportamento vocal em Caetano Veloso,2016,Brasil,Português,Clênio de Moura Abreu
Mestrado,O ensino do canto popular na universidade pública brasileira: um estudo seobre as práticas pedagógicas,2017,Brasil,Português,Ana Paula Lima de Albuquerque
Mestrado,"Romaria, um percurso para o interior: vivência a partir do eixo Co-habitar com a Fonte do método Bailarino-Pesquisador-Intérprete (BPI)",2017,Brasil,Português,Amanda Gonsales de Araujo
Mestrado,Sacundim: o scat singing de Filó Machado na interpretação de 'Take Five',2017,Brasil,Português,Martina Martins Marana
Mestrado,"A hora da voz, a vez da palavra: a poética-musical da Bossa Nova e da Seconda Pratica",2017,Brasil,Português,Henrique Cantalogo Couto
Mestrado,Sambop --scat singing brasileiro a partir da obra de Leny Andrade (1958 - 1965),2013,Brasil,Português,Livia Scarinci Nestrovski
