TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,O Planejamento Energético Ótimo de Médio Prazo com Representação das Usinas Hidrelétricas,2006,Brasil,Português,Marco Aurélio de Almeida Castro
Doutorado,Despacho Integrado da Geração Termelétrica e da Produção e Transmissão de Gás Natural,2006,Brasil,Português,Oderson Dias de Mello
Doutorado,Uma Política Operativa a Usinas Individualizadas para o Planejamento da Operação Energética do Sistema Interligado Nacional,2006,Brasil,Português,Thyago Carvalho Marques
Doutorado,Previsão de Vazões Afluentes Vários Passos à Frente Via Agregação de Vazões para o Planejamento Energético da Operação de Sistemas Hidrotérmicos de Potência,2005,Brasil,Português,Manoel Henrique da Nóbrega Marinho
Doutorado,Algoritmos Bio-Inspirados para Minimização do Makespan do Problema de Escalonamento de Produção,2011,Brasil,Português,Márcia Braga de Carvalho
Doutorado,Decomposição de Dantzig-Wolfe e Heurística Aplicados a Problemas de Fluxo Multiproduto Fuzzy,2011,Brasil,Português,Jussara Rodrigues Ciappina
Doutorado,Modelo de Programação da Operação de Sistemas Hidrotérmicos Predominantemente Hidrelétricos,2012,Brasil,Português,Makoto Kadowaki
Doutorado,Uma Metodologia Baseada em Algoritmos Genéticos para Melhorar o perfil de Tensão Diário de Sistemas de Potência,2012,Brasil,Português,Marcos de Almeida Leone Filho
Doutorado,Alocação e Operação de Controladores FACTS em Sistemas E- létricos de Potência,2010,Brasil,Português,Odilon Luís Tortelli
Doutorado,Contribuição para a Otimização de Turbinas em Usinas Hidre-létricas: Especificação e Operação,2011,Brasil,Português,Glauber Renato Colnago
Doutorado,IMPACTOS DO DESEMPENHO DAS EMENDAS DE CABOS DE LINHAS DE TRANSMISSÃO NA CONFIABILIDADE DE REDES ELÉTRICAS,2011,Brasil,Português,Carlos David Franco Barbosa
Doutorado,Sistema de suporte a decisão para analise e previsão de carga por barramento,2009,Brasil,Português,Ricardo Menezes Salgado
Doutorado,Influencia do calculo da ampacidade no despacho da operação,2006,Brasil,Português,Frederico Silva Moreira
Doutorado,"Um modelo de despacho e pré-despacho de retaivas através de algoritmos genéticos, fluxo de potência ótimo e busca tabu",2013,Brasil,Português,Sonia Angelina Garcia Modesto
